Employee_number,Deduction_Code,Rate
434724,TXB LIFE,0.78
434724,TXB LTD,15.41
435441,ER DENTAL,5.42
435441,ER HEALTH,9.5
435441,TXB LIFE,0.39
436502,ER DENTAL,5.42
436502,ER HEALTH,9.5
436502,TXB LIFE,0.78
436502,TXB LTD,14.12
437689,ER DENTAL,5.42
437689,ER HEALTH,9.5
437689,TXB LIFE,0.78
437689,TXB LTD,16.26
437996,ER DENTAL,5.42
437996,ER HEALTH,9.5
437996,TXB LIFE,0.39
438440,ER DENTAL,13.62
438440,ER HEALTH,21.36
438440,TXB LIFE,0.78
438440,TXB LTD,14.55
438663,ER DENTAL,5.42
438663,ER HEALTH,9.5
438663,TXB LIFE,0.39
438785,ER DENTAL,13.62
438785,ER HEALTH,21.36
438785,TXB LIFE,0.39
439524,ER DENTAL,13.62
439524,ER HEALTH,21.36
439524,TXB LIFE,0.78
439524,TXB LTD,15.41
439559,ER DENTAL,5.42
439559,ER HEALTH,9.5
439559,TXB LIFE,0.39
439635,ER DENTAL,5.42
439635,ER HEALTH,9.5
439635,TXB LIFE,0.39
441743,ER DENTAL,5.42
441743,ER HEALTH,9.5
441743,TXB LIFE,0.39
445846,ER DENTAL,5.42
445846,ER HEALTH,9.5
445846,TXB LIFE,0.39
447293,ER DENTAL,13.62
447293,ER HEALTH,21.36
447293,TXB LIFE,0.78
447293,TXB LTD,13.69
452848,ER DENTAL,5.42
452848,ER HEALTH,9.5
452848,TXB LIFE,0.39
457663,ER DENTAL,5.42
457663,ER HEALTH,9.5
457663,TXB LIFE,0.39
457874,ER DENTAL,5.42
457874,ER HEALTH,9.5
457874,TXB LIFE,0.78
457874,TXB LTD,14.12
458029,ER DENTAL,13.62
458029,ER HEALTH,21.36
458029,TXB LIFE,0.78
458029,TXB LTD,13.27
458150,ER DENTAL,5.42
458150,ER HEALTH,9.5
458150,TXB LIFE,0.39
459967,ER DENTAL,5.42
459967,ER HEALTH,9.5
459967,TXB LIFE,0.39
461835,ER DENTAL,13.62
461835,ER HEALTH,21.36
461835,TXB LIFE,0.78
461835,TXB LTD,13.27
463292,ER DENTAL,5.42
463292,ER HEALTH,9.5
463292,TXB LIFE,0.78
463292,TXB LTD,13.69
463649,ER DENTAL,5.42
463649,ER HEALTH,9.5
463649,TXB LIFE,0.39
464168,ER DENTAL,5.42
464168,ER HEALTH,9.5
464168,TXB LIFE,0.39
466113,ER DENTAL,5.42
466113,ER HEALTH,9.5
466113,TXB LIFE,0.39
466341,ER DENTAL,13.62
466341,ER HEALTH,21.36
466341,TXB LIFE,0.78
466341,TXB LTD,14.55
466758,ER DENTAL,5.42
466758,ER HEALTH,9.5
466758,TXB LIFE,0.78
466758,TXB LTD,13.48
467219,ER DENTAL,13.62
467219,ER HEALTH,21.36
467219,TXB LIFE,3.92
467219,TXB LTD,31.26
467423,ER DENTAL,5.42
467423,ER HEALTH,9.5
467423,TXB LIFE,0.78
467423,TXB LTD,15.19
467688,ER DENTAL,5.42
467688,ER HEALTH,9.5
467688,TXB LIFE,0.78
467688,TXB LTD,13.27
468750,ER DENTAL,5.42
468750,ER HEALTH,9.5
468750,TXB LIFE,0.39
469343,ER DENTAL,5.42
469343,ER HEALTH,9.5
469343,TXB LIFE,0.39
470911,ER DENTAL,5.42
470911,ER HEALTH,9.5
470911,TXB LIFE,0.39
471778,ER DENTAL,5.42
471778,ER HEALTH,9.5
471778,TXB LIFE,0.39
472256,ER DENTAL,5.42
472256,ER HEALTH,9.5
472256,TXB LIFE,0.39
472737,ER DENTAL,5.42
472737,ER HEALTH,9.5
472737,TXB LIFE,0.78
472737,TXB LTD,14.98
473199,ER DENTAL,5.42
473199,ER HEALTH,9.5
473199,TXB LIFE,0.39
475046,ER DENTAL,5.42
475046,ER HEALTH,9.5
475046,TXB LIFE,0.78
475046,TXB LTD,14.55
476384,ER DENTAL,5.42
476384,ER HEALTH,9.5
476384,TXB LIFE,0.78
476384,TXB LTD,17.98
477629,ER DENTAL,5.42
477629,ER HEALTH,9.5
477629,TXB LIFE,0.78
477629,TXB LTD,12.84
479259,ER DENTAL,5.42
479259,ER HEALTH,9.5
479259,TXB LIFE,0.78
479259,TXB LTD,14.55
479691,ER DENTAL,5.42
479691,ER HEALTH,9.5
479691,TXB LIFE,0.78
479691,TXB LTD,13.27
481006,ER DENTAL,5.42
481006,ER HEALTH,9.5
481006,TXB LIFE,0.78
481006,TXB LTD,13.27
483235,ER DENTAL,5.42
483235,ER HEALTH,9.5
483235,TXB LIFE,0.78
483235,TXB LTD,14.12
484116,ER DENTAL,5.42
484116,ER HEALTH,9.5
484116,TXB LIFE,3.92
484116,TXB LTD,17.98
484622,ER DENTAL,5.42
484622,ER HEALTH,9.5
484622,TXB LIFE,0.39
484894,ER DENTAL,5.42
484894,ER HEALTH,9.5
484894,TXB LIFE,0.78
484894,TXB LTD,15.41
485209,ER DENTAL,13.62
485209,ER HEALTH,21.36
485209,TXB LIFE,0.39
485459,ER DENTAL,5.42
485459,ER HEALTH,9.5
485459,TXB LIFE,0.78
485459,TXB LTD,13.91
486109,ER DENTAL,5.42
486109,ER HEALTH,9.5
486109,TXB LIFE,0.39
486109,TXB LTD,12.41
486181,ER DENTAL,5.42
486181,ER HEALTH,9.5
486181,TXB LIFE,0.39
486404,ER DENTAL,13.62
486404,ER HEALTH,21.36
486404,TXB LIFE,3.92
486404,TXB LTD,31.68
488093,ER DENTAL,5.42
488093,ER HEALTH,9.5
488093,TXB LIFE,0.78
488093,TXB LTD,13.27
488224,ER DENTAL,5.42
488224,ER HEALTH,9.5
488224,TXB LIFE,0.39
488861,ER DENTAL,5.42
488861,ER HEALTH,9.5
488861,TXB LIFE,0.78
488861,TXB LTD,15.41
489113,ER DENTAL,5.42
489113,ER HEALTH,9.5
489113,TXB LIFE,0.78
489113,TXB LTD,16.26
492674,ER DENTAL,5.42
492674,ER HEALTH,9.5
492674,TXB LIFE,0.39
499522,ER DENTAL,5.42
499522,ER HEALTH,9.5
499522,TXB LIFE,0.39
499898,ER DENTAL,13.62
499898,ER HEALTH,21.36
499898,TXB LIFE,0.39
502346,ER DENTAL,5.42
502346,ER HEALTH,9.5
502346,TXB LIFE,0.78
502346,TXB LTD,13.69
502710,ER DENTAL,5.42
502710,ER HEALTH,9.5
502710,TXB LIFE,0.39
502885,ER DENTAL,5.42
502885,ER HEALTH,9.5
502885,TXB LIFE,0.78
502885,TXB LTD,14.55
502946,ER DENTAL,5.42
502946,ER HEALTH,9.5
502946,TXB LIFE,0.39
503576,ER DENTAL,5.42
503576,ER HEALTH,9.5
503576,TXB LIFE,0.39
504024,ER DENTAL,5.42
504024,ER HEALTH,9.5
504024,TXB LIFE,0.39
504128,ER DENTAL,5.42
504128,ER HEALTH,9.5
504128,TXB LIFE,0.78
504128,TXB LTD,14.98
506055,ER DENTAL,5.42
506055,ER HEALTH,9.5
506055,TXB LIFE,0.39
506069,ER DENTAL,5.42
506069,ER HEALTH,9.5
506069,TXB LIFE,0.78
506069,TXB LTD,15.41
506554,ER DENTAL,5.42
506554,ER HEALTH,9.5
506554,TXB LIFE,0.39
506744,ER DENTAL,5.42
506744,ER HEALTH,9.5
506744,TXB LIFE,1.96
506744,TXB LTD,13.69
507483,ER DENTAL,5.42
507483,ER HEALTH,9.5
507483,TXB LIFE,0.78
507483,TXB LTD,14.98
508393,ER DENTAL,5.42
508393,ER HEALTH,9.5
508393,TXB LIFE,0.78
508393,TXB LTD,14.55
508620,ER DENTAL,5.42
508620,ER HEALTH,9.5
508620,TXB LIFE,0.39
510925,ER DENTAL,5.42
510925,ER HEALTH,9.5
510925,TXB LIFE,0.39
511084,ER DENTAL,13.62
511084,ER HEALTH,21.36
511084,TXB LIFE,0.78
511084,TXB LTD,14.55
511533,ER DENTAL,5.42
511533,ER HEALTH,9.5
511533,TXB LIFE,0.39
512085,ER DENTAL,5.42
512085,ER HEALTH,9.5
512085,TXB LIFE,0.39
515842,ER DENTAL,5.42
515842,ER HEALTH,9.5
515842,TXB LIFE,0.78
515842,TXB LTD,17.12
516767,ER DENTAL,13.62
516767,ER HEALTH,21.36
516767,TXB LIFE,0.78
516767,TXB LTD,14.12
517085,ER DENTAL,13.62
517085,ER HEALTH,21.36
517085,TXB LIFE,3.92
517085,TXB LTD,24.69
519017,ER DENTAL,5.42
519017,ER HEALTH,9.5
519017,TXB LIFE,0.39
519426,ER DENTAL,5.42
519426,ER HEALTH,9.5
519426,TXB LIFE,0.39
520058,ER DENTAL,5.42
520058,ER HEALTH,9.5
520058,TXB LIFE,0.39
520485,ER DENTAL,13.62
520485,ER HEALTH,21.36
520485,TXB LIFE,0.78
520485,TXB LTD,13.48
521376,ER DENTAL,5.42
521376,ER HEALTH,9.5
521376,TXB LIFE,0.39
523107,ER DENTAL,13.62
523107,ER HEALTH,21.36
523107,TXB LIFE,0.39
523483,ER DENTAL,5.42
523483,ER HEALTH,9.5
523483,TXB LIFE,0.78
523483,TXB LTD,13.69
523496,ER DENTAL,5.42
523496,ER HEALTH,9.5
523496,TXB LIFE,0.78
523496,TXB LTD,15.41
524866,ER DENTAL,5.42
524866,ER HEALTH,9.5
524866,TXB LIFE,0.39
525154,ER DENTAL,5.42
525154,ER HEALTH,9.5
525154,TXB LIFE,0.78
525154,TXB LTD,13.69
526149,ER DENTAL,5.42
526149,ER HEALTH,9.5
526149,TXB LIFE,0.39
526169,ER DENTAL,5.42
526169,ER HEALTH,9.5
526169,TXB LIFE,0.78
526169,TXB LTD,14.55
526316,ER DENTAL,5.42
526316,ER HEALTH,9.5
526316,TXB LIFE,0.78
526316,TXB LTD,13.91
526546,ER DENTAL,5.42
526546,ER HEALTH,9.5
526546,TXB LIFE,0.78
526546,TXB LTD,14.55
527128,ER DENTAL,5.42
527128,ER HEALTH,9.5
527128,TXB LIFE,0.39
527594,ER DENTAL,5.42
527594,ER HEALTH,9.5
527594,TXB LIFE,0.39
527665,ER DENTAL,5.42
527665,ER HEALTH,9.5
527665,TXB LIFE,0.78
527665,TXB LTD,14.12
528108,ER DENTAL,5.42
528108,ER HEALTH,9.5
528108,TXB LIFE,0.39
528764,ER DENTAL,5.42
528764,ER HEALTH,9.5
528764,TXB LIFE,0.39
529100,ER DENTAL,5.42
529100,ER HEALTH,9.5
529100,TXB LIFE,0.78
529100,TXB LTD,13.27
529639,ER DENTAL,5.42
529639,ER HEALTH,9.5
529639,TXB LIFE,0.78
529639,TXB LTD,13.69
529659,ER DENTAL,5.42
529659,ER HEALTH,9.5
529659,TXB LIFE,0.39
530104,ER DENTAL,5.42
530104,ER HEALTH,9.5
530104,TXB LIFE,0.78
530104,TXB LTD,12.84
531677,ER DENTAL,5.42
531677,ER HEALTH,9.5
531677,TXB LIFE,0.78
531677,TXB LTD,12.84
534007,ER DENTAL,5.42
534007,ER HEALTH,9.5
534007,TXB LIFE,0.39
534114,ER DENTAL,5.42
534114,ER HEALTH,9.5
534114,TXB LIFE,0.39
534114,TXB LTD,13.69
534326,ER DENTAL,5.42
534326,ER HEALTH,9.5
534326,TXB LIFE,0.78
534326,TXB LTD,13.69
534438,ER DENTAL,13.62
534438,ER HEALTH,21.36
534438,TXB LIFE,0.39
537949,ER DENTAL,5.42
537949,ER HEALTH,9.5
537949,TXB LIFE,0.39
537976,ER DENTAL,5.42
537976,ER HEALTH,9.5
537976,TXB LIFE,0.39
538000,ER DENTAL,5.42
538000,ER HEALTH,9.5
538000,TXB LIFE,0.78
538000,TXB LTD,14.55
538769,ER DENTAL,5.42
538769,ER HEALTH,9.5
538769,TXB LIFE,0.39
538779,ER DENTAL,5.42
538779,ER HEALTH,9.5
538779,TXB LIFE,0.39
539669,ER DENTAL,5.42
539669,ER HEALTH,9.5
539669,TXB LIFE,0.78
539669,TXB LTD,14.12
540231,ER DENTAL,5.42
540231,ER HEALTH,9.5
540231,TXB LIFE,0.78
540231,TXB LTD,13.69
541583,ER DENTAL,5.42
541583,ER HEALTH,9.5
541583,TXB LIFE,0.39
543544,ER DENTAL,13.62
543544,ER HEALTH,21.36
543544,TXB LIFE,0.78
543544,TXB LTD,12.84
544330,ER DENTAL,13.62
544330,ER HEALTH,21.36
544330,TXB LIFE,0.39
545243,ER DENTAL,5.42
545243,ER HEALTH,9.5
545243,TXB LIFE,0.39
545728,ER DENTAL,5.42
545728,ER HEALTH,9.5
545728,TXB LIFE,0.39
546002,ER DENTAL,5.42
546002,ER HEALTH,9.5
546002,TXB LIFE,0.39
546075,ER DENTAL,5.42
546075,ER HEALTH,9.5
546075,TXB LIFE,3.92
546075,TXB LTD,37.04
546323,ER DENTAL,5.42
546323,ER HEALTH,9.5
546323,TXB LIFE,0.78
546323,TXB LTD,15.41
546725,ER DENTAL,5.42
546725,ER HEALTH,9.5
546725,TXB LIFE,0.78
546725,TXB LTD,14.55
546776,ER DENTAL,5.42
546776,ER HEALTH,9.5
546776,TXB LIFE,0.39
547310,ER DENTAL,5.42
547310,ER HEALTH,9.5
547310,TXB LIFE,3.92
547310,TXB LTD,30.87
547656,ER DENTAL,5.42
547656,ER HEALTH,9.5
547656,TXB LIFE,0.39
547972,ER DENTAL,5.42
547972,ER HEALTH,9.5
547972,TXB LIFE,0.78
547972,TXB LTD,17.98
550192,ER DENTAL,5.42
550192,ER HEALTH,9.5
550192,TXB LIFE,0.39
551533,ER DENTAL,5.42
551533,ER HEALTH,9.5
551533,TXB LIFE,0.39
551533,TXB LTD,12.41
551566,ER DENTAL,5.42
551566,ER HEALTH,9.5
551566,TXB LIFE,0.39
551816,ER DENTAL,5.42
551816,ER HEALTH,9.5
551816,TXB LIFE,0.39
552011,ER DENTAL,5.42
552011,ER HEALTH,9.5
552011,TXB LIFE,0.78
552011,TXB LTD,24.07
552124,ER DENTAL,13.62
552124,ER HEALTH,21.36
552124,TXB LIFE,0.78
552124,TXB LTD,13.69
553452,ER DENTAL,5.42
553452,ER HEALTH,9.5
553452,TXB LIFE,0.39
554622,ER DENTAL,5.42
554622,ER HEALTH,9.5
554622,TXB LIFE,0.39
555213,ER DENTAL,5.42
555213,ER HEALTH,9.5
555213,TXB LIFE,0.78
555213,TXB LTD,14.55
555942,ER DENTAL,5.42
555942,ER HEALTH,9.5
555942,TXB LIFE,0.39
555985,ER DENTAL,5.42
555985,ER HEALTH,9.5
555985,TXB LIFE,0.78
555985,TXB LTD,14.55
556014,ER DENTAL,5.42
556014,ER HEALTH,9.5
556014,TXB LIFE,0.39
556102,ER DENTAL,5.42
556102,ER HEALTH,9.5
556102,TXB LIFE,0.39
556906,ER DENTAL,5.42
556906,ER HEALTH,9.5
556906,TXB LIFE,0.39
557609,ER DENTAL,13.62
557609,ER HEALTH,21.36
557609,TXB LIFE,0.78
557609,TXB LTD,19.55
557928,ER DENTAL,5.42
557928,ER HEALTH,9.5
557928,TXB LIFE,0.39
558728,ER DENTAL,5.42
558728,ER HEALTH,9.5
558728,TXB LIFE,0.39
558807,ER DENTAL,5.42
558807,ER HEALTH,9.5
558807,TXB LIFE,0.78
558807,TXB LTD,16.26
559544,ER DENTAL,5.42
559544,ER HEALTH,9.5
559544,TXB LIFE,0.39
560188,ER DENTAL,5.42
560188,ER HEALTH,9.5
560188,TXB LIFE,0.39
560351,ER DENTAL,5.42
560351,ER HEALTH,9.5
560351,TXB LIFE,0.39
561767,ER DENTAL,5.42
561767,ER HEALTH,9.5
561767,TXB LIFE,0.39
561773,ER DENTAL,5.42
561773,ER HEALTH,9.5
561773,TXB LIFE,0.39
562544,ER DENTAL,5.42
562544,ER HEALTH,9.5
562544,TXB LIFE,0.39
562547,ER DENTAL,5.42
562547,ER HEALTH,9.5
562547,TXB LIFE,0.78
562547,TXB LTD,15.41
562592,ER DENTAL,5.42
562592,ER HEALTH,9.5
562592,TXB LIFE,3.92
562592,TXB LTD,20.58
563648,ER DENTAL,5.42
563648,ER HEALTH,9.5
563648,TXB LIFE,0.39
563956,ER DENTAL,5.42
563956,ER HEALTH,9.5
563956,TXB LIFE,0.39
564090,ER DENTAL,5.42
564090,ER HEALTH,9.5
564090,TXB LIFE,0.39
564457,ER DENTAL,5.42
564457,ER HEALTH,9.5
564457,TXB LIFE,0.39
564472,ER DENTAL,5.42
564472,ER HEALTH,9.5
564472,TXB LIFE,0.78
564472,TXB LTD,14.55
564667,ER DENTAL,13.62
564667,ER HEALTH,21.36
564667,TXB LIFE,0.39
564823,ER DENTAL,5.42
564823,ER HEALTH,9.5
564823,TXB LIFE,0.39
564991,ER DENTAL,5.42
564991,ER HEALTH,9.5
564991,TXB LIFE,0.39
565144,ER DENTAL,5.42
565144,ER HEALTH,9.5
565144,TXB LIFE,0.39
565361,ER DENTAL,5.42
565361,ER HEALTH,9.5
565361,TXB LIFE,0.39
565387,ER DENTAL,5.42
565387,ER HEALTH,9.5
565387,TXB LIFE,0.39
565617,ER DENTAL,5.42
565617,ER HEALTH,9.5
565617,TXB LIFE,0.39
565676,ER DENTAL,13.62
565676,ER HEALTH,21.36
565676,TXB LIFE,0.78
565676,TXB LTD,14.55
566327,ER DENTAL,5.42
566327,ER HEALTH,9.5
566327,TXB LIFE,0.78
566327,TXB LTD,13.69
566953,ER DENTAL,5.42
566953,ER HEALTH,9.5
566953,TXB LIFE,0.78
566953,TXB LTD,14.12
567445,ER DENTAL,5.42
567445,ER HEALTH,9.5
567445,TXB LIFE,0.39
567450,ER DENTAL,5.42
567450,ER HEALTH,9.5
567450,TXB LIFE,0.39
568026,ER DENTAL,13.62
568026,ER HEALTH,21.36
568026,TXB LIFE,0.78
568026,TXB LTD,14.12
568156,ER DENTAL,5.42
568156,ER HEALTH,9.5
568156,TXB LIFE,0.39
568303,ER DENTAL,5.42
568303,ER HEALTH,9.5
568303,TXB LIFE,0.39
568593,ER DENTAL,13.62
568593,ER HEALTH,21.36
568593,TXB LIFE,0.78
568593,TXB LTD,14.12
568679,ER DENTAL,5.42
568679,ER HEALTH,9.5
568679,TXB LIFE,0.39
569009,ER DENTAL,5.42
569009,ER HEALTH,9.5
569009,TXB LIFE,0.39
570108,ER DENTAL,5.42
570108,ER HEALTH,9.5
570108,TXB LIFE,0.39
570254,ER DENTAL,5.42
570254,ER HEALTH,9.5
570254,TXB LIFE,0.39
572695,ER DENTAL,5.42
572695,ER HEALTH,9.5
572695,TXB LIFE,0.39
573908,ER DENTAL,5.42
573908,ER HEALTH,9.5
573908,TXB LIFE,0.39
573908,TXB LTD,14.12
574146,ER DENTAL,13.62
574146,ER HEALTH,21.36
574146,TXB LIFE,0.39
574146,TXB LTD,12.41
583739,ER DENTAL,5.42
583739,ER HEALTH,9.5
583739,TXB LIFE,1.96
583739,TXB LTD,13.69
