Employee_number,company_plan_type,Rate
292766,D Sales Tax,1.4
292766,EE DENTAL,17.5
292766,EE HEALTH,27
292766,H ER Sales Tax,1.71
292766,H Sales Tax,2.16
292775,EE AD&D,0.46
292775,D ER Sales Tax,0.49
292775,D Sales Tax,0.68
292775,EE DENTAL,7.5
292775,EE HEALTH,12
292775,H ER Sales Tax,0.86
292775,H Sales Tax,1.08
292838,EE AD&D,2.31
292838,D ER Sales Tax,1.09
292838,D Sales Tax,1.4
292838,EE DENTAL,17.5
292838,EE HEALTH,27
292838,H ER Sales Tax,1.71
292838,H Sales Tax,2.16
292928,EE AD&D,0.46
292928,D ER Sales Tax,0.49
292928,D Sales Tax,0.68
292928,EE DENTAL,7.5
292928,EE HEALTH,12
292928,H ER Sales Tax,0.86
292928,H Sales Tax,1.08
293033,EE AD&D,0.23
293033,D ER Sales Tax,0.43
293033,D Sales Tax,0.6
293033,EE DENTAL,7.5
293033,EE HEALTH,12
293033,H ER Sales Tax,0.76
293033,H Sales Tax,0.96
293034,EE AD&D,0.23
293034,D ER Sales Tax,1.09
293034,D Sales Tax,1.4
293034,EE DENTAL,17.5
293034,EE HEALTH,27
293034,H ER Sales Tax,1.71
293034,H Sales Tax,2.16
293045,EE AD&D,0.46
293045,D ER Sales Tax,1.09
293045,D Sales Tax,1.4
293045,EE DENTAL,17.5
293045,EE HEALTH,27
293045,H ER Sales Tax,1.71
293045,H Sales Tax,2.16
293153,EE AD&D,0.46
293153,D ER Sales Tax,0.43
293153,D Sales Tax,0.6
293153,EE DENTAL,7.5
293153,EE HEALTH,12
293153,H ER Sales Tax,0.76
293153,H Sales Tax,0.96
293207,EE AD&D,0.46
293207,D ER Sales Tax,0.49
293207,D Sales Tax,0.68
293207,EE DENTAL,7.5
293207,EE HEALTH,12
293207,H ER Sales Tax,0.86
293207,H Sales Tax,1.08
322257,EE AD&D,0.12
322257,D ER Sales Tax,0.43
322257,D Sales Tax,0.6
322257,EE DENTAL,7.5
322257,EE HEALTH,12
322257,H ER Sales Tax,0.76
322257,H Sales Tax,0.96
326611,EE AD&D,0.46
326611,D ER Sales Tax,1.09
326611,D Sales Tax,1.4
326611,EE DENTAL,17.5
326611,EE HEALTH,27
326611,H ER Sales Tax,1.71
326611,H Sales Tax,2.16
328539,EE AD&D,0.23
328539,EE DENTAL,7.5
328539,EE HEALTH,12
335574,EE AD&D,0.23
335574,D ER Sales Tax,0.49
335574,D Sales Tax,0.68
335574,EE DENTAL,7.5
335574,EE HEALTH,12
335574,H ER Sales Tax,0.86
335574,H Sales Tax,1.08
335580,EE AD&D,0.46
335580,EE DENTAL,7.5
335580,EE HEALTH,12
338688,EE AD&D,2.31
338688,EE DENTAL,17.5
338688,EE HEALTH,27
347829,EE AD&D,0.46
347829,EE DENTAL,7.5
347829,EE HEALTH,12
349272,EE AD&D,2.31
349272,EE DENTAL,7.5
349272,EE HEALTH,12
352795,EE AD&D,0.46
352795,EE DENTAL,7.5
352795,EE HEALTH,12
353113,EE AD&D,0.23
353113,D ER Sales Tax,1.09
353113,D Sales Tax,1.4
353113,EE DENTAL,17.5
353113,EE HEALTH,27
353113,H ER Sales Tax,1.71
353113,H Sales Tax,2.16
357403,EE AD&D,0.46
357403,D ER Sales Tax,0.43
357403,D Sales Tax,0.6
357403,EE DENTAL,7.5
357403,EE HEALTH,12
357403,H ER Sales Tax,0.76
357403,H Sales Tax,0.96
358418,EE AD&D,0.23
358418,D ER Sales Tax,1.09
358418,D Sales Tax,1.4
358418,EE DENTAL,17.5
358418,EE HEALTH,27
358418,H ER Sales Tax,1.71
358418,H Sales Tax,2.16
367017,EE AD&D,0.46
367017,D ER Sales Tax,0.43
367017,D Sales Tax,0.6
367017,EE DENTAL,7.5
367017,EE HEALTH,12
367017,H ER Sales Tax,0.76
367017,H Sales Tax,0.96
368067,EE AD&D,2.31
368067,D ER Sales Tax,1.09
368067,D Sales Tax,1.4
368067,EE DENTAL,17.5
368067,EE HEALTH,27
368067,H ER Sales Tax,1.71
368067,H Sales Tax,2.16
370190,EE AD&D,0.46
370190,D ER Sales Tax,0.43
370190,D Sales Tax,0.6
370190,EE DENTAL,7.5
370190,EE HEALTH,12
370190,H ER Sales Tax,0.76
370190,H Sales Tax,0.96
371706,EE AD&D,0.46
371706,D ER Sales Tax,0.43
371706,D Sales Tax,0.6
371706,EE DENTAL,7.5
371706,EE HEALTH,12
371706,H ER Sales Tax,0.76
371706,H Sales Tax,0.96
379321,EE AD&D,0.46
379321,EE DENTAL,7.5
379321,EE HEALTH,12
379329,EE AD&D,2.31
379329,EE DENTAL,7.5
379329,EE HEALTH,12
385497,EE AD&D,0.46
385497,EE DENTAL,17.5
385497,EE HEALTH,27
385682,EE AD&D,0.46
385682,D ER Sales Tax,0.43
385682,D Sales Tax,0.6
385682,EE DENTAL,7.5
385682,EE HEALTH,12
385682,H ER Sales Tax,0.76
385682,H Sales Tax,0.96
386467,EE AD&D,0.46
386467,D ER Sales Tax,0.43
386467,D Sales Tax,0.6
386467,EE DENTAL,7.5
386467,EE HEALTH,12
386467,H ER Sales Tax,0.76
386467,H Sales Tax,0.96
387794,EE AD&D,1.15
387794,D ER Sales Tax,0.49
387794,D Sales Tax,0.68
387794,EE DENTAL,7.5
387794,EE HEALTH,12
387794,H ER Sales Tax,0.86
387794,H Sales Tax,1.08
388517,EE AD&D,0.46
388517,EE DENTAL,7.5
388517,EE HEALTH,12
388689,EE AD&D,0.46
388689,D ER Sales Tax,0.43
388689,D Sales Tax,0.6
388689,EE DENTAL,7.5
388689,EE HEALTH,12
388689,H ER Sales Tax,0.76
388689,H Sales Tax,0.96
394208,EE AD&D,0.23
394208,D ER Sales Tax,1.09
394208,D Sales Tax,1.4
394208,EE DENTAL,17.5
394208,EE HEALTH,27
394208,H ER Sales Tax,1.71
394208,H Sales Tax,2.16
398858,EE AD&D,0.46
398858,D ER Sales Tax,0.43
398858,D Sales Tax,0.6
398858,EE DENTAL,7.5
398858,EE HEALTH,12
398858,H ER Sales Tax,0.76
398858,H Sales Tax,0.96
399023,EE AD&D,0.46
399023,EE DENTAL,17.5
399023,EE HEALTH,27
400636,EE AD&D,0.46
400636,D ER Sales Tax,0.43
400636,D Sales Tax,0.6
400636,EE DENTAL,7.5
400636,EE HEALTH,12
400636,H ER Sales Tax,0.76
400636,H Sales Tax,0.96
402411,EE AD&D,0.46
402411,D ER Sales Tax,0.43
402411,D Sales Tax,0.6
402411,EE DENTAL,7.5
402411,EE HEALTH,12
402411,H ER Sales Tax,0.76
402411,H Sales Tax,0.96
403332,EE AD&D,0.46
403332,EE DENTAL,7.5
403332,EE HEALTH,12
403333,EE AD&D,0.46
403333,EE DENTAL,7.5
403333,EE HEALTH,12
403362,EE AD&D,0.46
403362,EE DENTAL,7.5
403362,EE HEALTH,12
403376,EE AD&D,2.31
403376,D ER Sales Tax,0.43
403376,D Sales Tax,0.6
403376,EE DENTAL,7.5
403376,EE HEALTH,12
403376,H ER Sales Tax,0.76
403376,H Sales Tax,0.96
403395,EE AD&D,2.31
403395,D ER Sales Tax,1.09
403395,D Sales Tax,1.4
403395,EE DENTAL,17.5
403395,EE HEALTH,27
403395,H ER Sales Tax,1.71
403395,H Sales Tax,2.16
403399,EE AD&D,0.23
403399,EE DENTAL,7.5
403399,EE HEALTH,12
403534,EE AD&D,0.46
403534,EE DENTAL,7.5
403534,EE HEALTH,12
403658,EE AD&D,2.31
403658,D ER Sales Tax,0.43
403658,D Sales Tax,0.6
403658,EE DENTAL,7.5
403658,EE HEALTH,12
403658,H ER Sales Tax,0.76
403658,H Sales Tax,0.96
403838,EE AD&D,0.46
403838,EE DENTAL,7.5
403838,EE HEALTH,12
404720,EE AD&D,0.46
404720,D ER Sales Tax,0.49
404720,D Sales Tax,0.68
404720,EE DENTAL,7.5
404720,EE HEALTH,12
404720,H ER Sales Tax,0.86
404720,H Sales Tax,1.08
405704,EE AD&D,1.15
405704,D ER Sales Tax,0.49
405704,D Sales Tax,0.68
405704,EE DENTAL,7.5
405704,EE HEALTH,12
405704,H ER Sales Tax,0.86
405704,H Sales Tax,1.08
408307,EE AD&D,0.46
408307,D ER Sales Tax,0.43
408307,D Sales Tax,0.6
408307,EE DENTAL,7.5
408307,EE HEALTH,12
408307,H ER Sales Tax,0.76
408307,H Sales Tax,0.96
411224,EE AD&D,0.46
411224,EE DENTAL,7.5
411224,EE HEALTH,12
411760,EE AD&D,0.23
411760,D ER Sales Tax,0.43
411760,D Sales Tax,0.6
411760,EE DENTAL,7.5
411760,EE HEALTH,12
411760,H ER Sales Tax,0.76
411760,H Sales Tax,0.96
411988,EE AD&D,0.23
411988,EE DENTAL,7.5
411988,EE HEALTH,12
414431,EE AD&D,0.23
414431,EE DENTAL,7.5
414431,EE HEALTH,12
415083,EE AD&D,0.46
415083,EE DENTAL,7.5
415083,EE HEALTH,12
415477,EE AD&D,0.23
415477,D ER Sales Tax,0.43
415477,D Sales Tax,0.6
415477,EE DENTAL,7.5
415477,EE HEALTH,12
415477,H ER Sales Tax,0.76
415477,H Sales Tax,0.96
417405,EE AD&D,0.23
417405,D ER Sales Tax,0.49
417405,D Sales Tax,0.68
417405,EE DENTAL,7.5
417405,EE HEALTH,12
417405,H ER Sales Tax,0.86
417405,H Sales Tax,1.08
417513,EE AD&D,0.12
417513,D ER Sales Tax,0.43
417513,D Sales Tax,0.6
417513,EE DENTAL,7.5
417513,EE HEALTH,12
417513,H ER Sales Tax,0.76
417513,H Sales Tax,0.96
418641,EE AD&D,0.46
418641,D ER Sales Tax,0.43
418641,D Sales Tax,0.6
418641,EE DENTAL,7.5
418641,EE HEALTH,12
418641,H ER Sales Tax,0.76
418641,H Sales Tax,0.96
419333,EE AD&D,0.23
419333,EE DENTAL,7.5
419333,EE HEALTH,12
419621,EE AD&D,2.31
419621,D ER Sales Tax,1.09
419621,D Sales Tax,1.4
419621,EE DENTAL,17.5
419621,EE HEALTH,27
419621,H ER Sales Tax,1.71
419621,H Sales Tax,2.16
420082,EE AD&D,0.23
420082,EE DENTAL,17.5
420082,EE HEALTH,27
424548,EE AD&D,0.23
424548,D ER Sales Tax,0.43
424548,D Sales Tax,0.6
424548,EE DENTAL,7.5
424548,EE HEALTH,12
424548,H ER Sales Tax,0.76
424548,H Sales Tax,0.96
429405,EE AD&D,0.46
429405,EE DENTAL,7.5
429405,EE HEALTH,12
430225,EE AD&D,2.31
430225,EE DENTAL,7.5
430225,EE HEALTH,12
430404,EE AD&D,0.23
430404,EE DENTAL,7.5
430404,EE HEALTH,12
430600,EE AD&D,0.46
430600,D ER Sales Tax,0.43
430600,D Sales Tax,0.6
430600,EE DENTAL,7.5
430600,EE HEALTH,12
430600,H ER Sales Tax,0.76
430600,H Sales Tax,0.96
430957,EE AD&D,0.23
430957,D ER Sales Tax,0.43
430957,D Sales Tax,0.6
430957,EE DENTAL,7.5
430957,EE HEALTH,12
430957,H ER Sales Tax,0.76
430957,H Sales Tax,0.96
434724,EE AD&D,0.46
434724,EE DENTAL,17.5
434724,EE HEALTH,27
435441,EE AD&D,0.23
435441,D ER Sales Tax,0.43
435441,D Sales Tax,0.6
435441,EE DENTAL,7.5
435441,EE HEALTH,12
435441,H ER Sales Tax,0.76
435441,H Sales Tax,0.96
436502,EE AD&D,0.46
436502,D ER Sales Tax,0.43
436502,D Sales Tax,0.6
436502,EE DENTAL,7.5
436502,EE HEALTH,12
436502,H ER Sales Tax,0.76
436502,H Sales Tax,0.96
437689,EE AD&D,0.46
437689,EE DENTAL,7.5
437689,EE HEALTH,12
437996,EE AD&D,0.23
437996,EE DENTAL,7.5
437996,EE HEALTH,12
438440,EE AD&D,0.46
438440,EE DENTAL,17.5
438440,EE HEALTH,27
438663,EE AD&D,0.23
438663,D ER Sales Tax,0.43
438663,D Sales Tax,0.6
438663,EE DENTAL,7.5
438663,EE HEALTH,12
438663,H ER Sales Tax,0.76
438663,H Sales Tax,0.96
438785,EE AD&D,0.23
438785,D ER Sales Tax,1.09
438785,D Sales Tax,1.4
438785,EE DENTAL,17.5
438785,EE HEALTH,27
438785,H ER Sales Tax,1.71
438785,H Sales Tax,2.16
439524,EE AD&D,0.46
439524,EE DENTAL,17.5
439524,EE HEALTH,27
439559,EE AD&D,0.23
439559,D ER Sales Tax,0.43
439559,D Sales Tax,0.6
439559,EE DENTAL,7.5
439559,EE HEALTH,12
439559,H ER Sales Tax,0.76
439559,H Sales Tax,0.96
439635,EE AD&D,0.23
439635,EE DENTAL,7.5
439635,EE HEALTH,12
441743,EE AD&D,0.23
441743,EE DENTAL,7.5
441743,EE HEALTH,12
445846,EE AD&D,0.23
445846,D ER Sales Tax,0.49
445846,D Sales Tax,0.68
445846,EE DENTAL,7.5
445846,EE HEALTH,12
445846,H ER Sales Tax,0.86
445846,H Sales Tax,1.08
447293,EE AD&D,0.46
447293,EE DENTAL,17.5
447293,EE HEALTH,27
452848,EE AD&D,0.23
452848,EE DENTAL,7.5
452848,EE HEALTH,12
457663,EE AD&D,0.23
457663,D ER Sales Tax,0.43
457663,D Sales Tax,0.6
457663,EE DENTAL,7.5
457663,EE HEALTH,12
457663,H ER Sales Tax,0.76
457663,H Sales Tax,0.96
457874,EE AD&D,0.46
457874,EE DENTAL,7.5
457874,EE HEALTH,12
458029,EE AD&D,0.46
458029,EE DENTAL,17.5
458029,EE HEALTH,27
458150,EE AD&D,0.23
458150,D ER Sales Tax,0.49
458150,D Sales Tax,0.68
458150,EE DENTAL,7.5
458150,EE HEALTH,12
458150,H ER Sales Tax,0.86
458150,H Sales Tax,1.08
459967,EE AD&D,0.23
459967,D ER Sales Tax,0.43
459967,D Sales Tax,0.6
459967,EE DENTAL,7.5
459967,EE HEALTH,12
459967,H ER Sales Tax,0.76
459967,H Sales Tax,0.96
461835,EE AD&D,0.46
461835,D ER Sales Tax,1.23
461835,D Sales Tax,1.58
461835,EE DENTAL,17.5
461835,EE HEALTH,27
461835,H ER Sales Tax,1.92
461835,H Sales Tax,2.43
463292,EE AD&D,0.46
463292,D ER Sales Tax,0.43
463292,D Sales Tax,0.6
463292,EE DENTAL,7.5
463292,EE HEALTH,12
463292,H ER Sales Tax,0.76
463292,H Sales Tax,0.96
463649,EE AD&D,0.23
463649,D ER Sales Tax,0.43
463649,D Sales Tax,0.6
463649,EE DENTAL,7.5
463649,EE HEALTH,12
463649,H ER Sales Tax,0.76
463649,H Sales Tax,0.96
464168,EE AD&D,0.23
464168,EE DENTAL,7.5
464168,EE HEALTH,12
466113,EE AD&D,0.23
466113,D ER Sales Tax,0.49
466113,D Sales Tax,0.68
466113,EE DENTAL,7.5
466113,EE HEALTH,12
466113,H ER Sales Tax,0.86
466113,H Sales Tax,1.08
466341,EE AD&D,0.46
466341,EE DENTAL,17.5
466341,EE HEALTH,27
466758,EE AD&D,0.46
466758,D ER Sales Tax,0.43
466758,D Sales Tax,0.6
466758,EE DENTAL,7.5
466758,EE HEALTH,12
466758,H ER Sales Tax,0.76
466758,H Sales Tax,0.96
467219,EE AD&D,2.31
467219,EE DENTAL,17.5
467219,EE HEALTH,27
467423,EE AD&D,0.46
467423,D ER Sales Tax,0.49
467423,D Sales Tax,0.68
467423,EE DENTAL,7.5
467423,EE HEALTH,12
467423,H ER Sales Tax,0.86
467423,H Sales Tax,1.08
467688,EE AD&D,0.46
467688,EE DENTAL,7.5
467688,EE HEALTH,12
468750,EE AD&D,0.23
468750,D ER Sales Tax,0.43
468750,D Sales Tax,0.6
468750,EE DENTAL,7.5
468750,EE HEALTH,12
468750,H ER Sales Tax,0.76
468750,H Sales Tax,0.96
469343,EE AD&D,0.23
469343,EE DENTAL,7.5
469343,EE HEALTH,12
470911,EE AD&D,0.23
470911,EE DENTAL,7.5
470911,EE HEALTH,12
471778,EE AD&D,0.23
471778,EE DENTAL,7.5
471778,EE HEALTH,12
472256,EE AD&D,0.23
472256,D ER Sales Tax,0.43
472256,D Sales Tax,0.6
472256,EE DENTAL,7.5
472256,EE HEALTH,12
472256,H ER Sales Tax,0.76
472256,H Sales Tax,0.96
472737,EE AD&D,0.46
472737,D ER Sales Tax,0.43
472737,D Sales Tax,0.6
472737,EE DENTAL,7.5
472737,EE HEALTH,12
472737,H ER Sales Tax,0.76
472737,H Sales Tax,0.96
473199,EE AD&D,0.23
473199,EE DENTAL,7.5
473199,EE HEALTH,12
475046,EE AD&D,0.46
475046,D ER Sales Tax,0.43
475046,D Sales Tax,0.6
475046,EE DENTAL,7.5
475046,EE HEALTH,12
475046,H ER Sales Tax,0.76
475046,H Sales Tax,0.96
476384,EE AD&D,0.46
476384,EE DENTAL,7.5
476384,EE HEALTH,12
477629,EE AD&D,0.46
477629,EE DENTAL,7.5
477629,EE HEALTH,12
479259,EE AD&D,0.46
479259,EE DENTAL,7.5
479259,EE HEALTH,12
479691,EE AD&D,0.46
479691,D ER Sales Tax,0.49
479691,D Sales Tax,0.68
479691,EE DENTAL,7.5
479691,EE HEALTH,12
479691,H ER Sales Tax,0.86
479691,H Sales Tax,1.08
481006,EE AD&D,0.46
481006,D ER Sales Tax,0.49
481006,D Sales Tax,0.68
481006,EE DENTAL,7.5
481006,EE HEALTH,12
481006,H ER Sales Tax,0.86
481006,H Sales Tax,1.08
483235,EE AD&D,0.46
483235,EE DENTAL,7.5
483235,EE HEALTH,12
484116,EE AD&D,2.31
484116,EE DENTAL,7.5
484116,EE HEALTH,12
484622,EE AD&D,0.23
484622,D ER Sales Tax,0.49
484622,D Sales Tax,0.68
484622,EE DENTAL,7.5
484622,EE HEALTH,12
484622,H ER Sales Tax,0.86
484622,H Sales Tax,1.08
484894,EE AD&D,0.46
484894,D ER Sales Tax,0.43
484894,D Sales Tax,0.6
484894,EE DENTAL,7.5
484894,EE HEALTH,12
484894,H ER Sales Tax,0.76
484894,H Sales Tax,0.96
485209,EE AD&D,0.23
485209,D ER Sales Tax,1.09
485209,D Sales Tax,1.4
485209,EE DENTAL,17.5
485209,EE HEALTH,27
485209,H ER Sales Tax,1.71
485209,H Sales Tax,2.16
485459,EE AD&D,0.46
485459,D ER Sales Tax,0.43
485459,D Sales Tax,0.6
485459,EE DENTAL,7.5
485459,EE HEALTH,12
485459,H ER Sales Tax,0.76
485459,H Sales Tax,0.96
486109,EE AD&D,0.23
486109,D ER Sales Tax,0.43
486109,D Sales Tax,0.6
486109,EE DENTAL,7.5
486109,EE HEALTH,12
486109,H ER Sales Tax,0.76
486109,H Sales Tax,0.96
486181,EE AD&D,0.23
486181,EE DENTAL,7.5
486181,EE HEALTH,12
486404,EE AD&D,2.31
486404,D ER Sales Tax,1.09
486404,D Sales Tax,1.4
486404,EE DENTAL,17.5
486404,EE HEALTH,27
486404,H ER Sales Tax,1.71
486404,H Sales Tax,2.16
488093,EE AD&D,0.46
488093,EE DENTAL,7.5
488093,EE HEALTH,12
488224,EE AD&D,0.23
488224,EE DENTAL,7.5
488224,EE HEALTH,12
488861,EE AD&D,0.46
488861,EE DENTAL,7.5
488861,EE HEALTH,12
489113,EE AD&D,0.46
489113,EE DENTAL,7.5
489113,EE HEALTH,12
492674,EE AD&D,0.23
492674,EE DENTAL,7.5
492674,EE HEALTH,12
499522,EE AD&D,0.23
499522,EE DENTAL,7.5
499522,EE HEALTH,12
499898,EE AD&D,0.23
499898,D ER Sales Tax,1.09
499898,D Sales Tax,1.4
499898,EE DENTAL,17.5
499898,EE HEALTH,27
499898,H ER Sales Tax,1.71
499898,H Sales Tax,2.16
502346,EE AD&D,0.46
502346,D ER Sales Tax,0.49
502346,D Sales Tax,0.68
502346,EE DENTAL,7.5
502346,EE HEALTH,12
502346,H ER Sales Tax,0.86
502346,H Sales Tax,1.08
502710,EE AD&D,0.23
502710,EE DENTAL,7.5
502710,EE HEALTH,12
502885,EE AD&D,0.46
502885,EE DENTAL,7.5
502885,EE HEALTH,12
502946,EE AD&D,0.23
502946,EE DENTAL,7.5
502946,EE HEALTH,12
503576,EE AD&D,0.23
503576,EE DENTAL,7.5
503576,EE HEALTH,12
504024,EE AD&D,0.23
504024,D ER Sales Tax,0.43
504024,D Sales Tax,0.6
504024,EE DENTAL,7.5
504024,EE HEALTH,12
504024,H ER Sales Tax,0.76
504024,H Sales Tax,0.96
504128,EE AD&D,0.46
504128,EE DENTAL,7.5
504128,EE HEALTH,12
506055,EE AD&D,0.23
506055,D ER Sales Tax,0.43
506055,D Sales Tax,0.6
506055,EE DENTAL,7.5
506055,EE HEALTH,12
506055,H ER Sales Tax,0.76
506055,H Sales Tax,0.96
506069,EE AD&D,0.46
506069,D ER Sales Tax,0.43
506069,D Sales Tax,0.6
506069,EE DENTAL,7.5
506069,EE HEALTH,12
506069,H ER Sales Tax,0.76
506069,H Sales Tax,0.96
506554,EE AD&D,0.23
506554,EE DENTAL,7.5
506554,EE HEALTH,12
506744,EE AD&D,1.15
506744,EE DENTAL,7.5
506744,EE HEALTH,12
507483,EE AD&D,0.46
507483,EE DENTAL,7.5
507483,EE HEALTH,12
508393,EE AD&D,0.46
508393,EE DENTAL,7.5
508393,EE HEALTH,12
508620,EE AD&D,0.23
508620,EE DENTAL,7.5
508620,EE HEALTH,12
510925,EE AD&D,0.23
510925,EE DENTAL,7.5
510925,EE HEALTH,12
511084,EE AD&D,0.46
511084,EE DENTAL,17.5
511084,EE HEALTH,27
511533,EE AD&D,0.23
511533,EE DENTAL,7.5
511533,EE HEALTH,12
512085,EE AD&D,0.23
512085,EE DENTAL,7.5
512085,EE HEALTH,12
515842,EE AD&D,0.46
515842,EE DENTAL,7.5
515842,EE HEALTH,12
516767,EE AD&D,0.46
516767,EE DENTAL,17.5
516767,EE HEALTH,27
517085,EE AD&D,2.31
517085,D ER Sales Tax,1.09
517085,D Sales Tax,1.4
517085,EE DENTAL,17.5
517085,EE HEALTH,27
517085,H ER Sales Tax,1.71
517085,H Sales Tax,2.16
519017,EE AD&D,0.23
519017,D ER Sales Tax,0.43
519017,D Sales Tax,0.6
519017,EE DENTAL,7.5
519017,EE HEALTH,12
519017,H ER Sales Tax,0.76
519017,H Sales Tax,0.96
519426,EE AD&D,0.23
519426,EE DENTAL,7.5
519426,EE HEALTH,12
520058,EE AD&D,0.23
520058,D ER Sales Tax,0.43
520058,D Sales Tax,0.6
520058,EE DENTAL,7.5
520058,EE HEALTH,12
520058,H ER Sales Tax,0.76
520058,H Sales Tax,0.96
520485,EE AD&D,0.46
520485,D ER Sales Tax,1.09
520485,D Sales Tax,1.4
520485,EE DENTAL,17.5
520485,EE HEALTH,27
520485,H ER Sales Tax,1.71
520485,H Sales Tax,2.16
521376,EE AD&D,0.23
521376,EE DENTAL,7.5
521376,EE HEALTH,12
523107,EE AD&D,0.23
523107,D ER Sales Tax,1.09
523107,D Sales Tax,1.4
523107,EE DENTAL,17.5
523107,EE HEALTH,27
523107,H ER Sales Tax,1.71
523107,H Sales Tax,2.16
523483,EE AD&D,0.46
523483,D ER Sales Tax,0.49
523483,D Sales Tax,0.68
523483,EE DENTAL,7.5
523483,EE HEALTH,12
523483,H ER Sales Tax,0.86
523483,H Sales Tax,1.08
523496,EE AD&D,0.46
523496,D ER Sales Tax,0.43
523496,D Sales Tax,0.6
523496,EE DENTAL,7.5
523496,EE HEALTH,12
523496,H ER Sales Tax,0.76
523496,H Sales Tax,0.96
524866,EE AD&D,0.23
524866,D ER Sales Tax,0.49
524866,D Sales Tax,0.68
524866,EE DENTAL,7.5
524866,EE HEALTH,12
524866,H ER Sales Tax,0.86
524866,H Sales Tax,1.08
525154,EE AD&D,0.46
525154,D ER Sales Tax,0.43
525154,D Sales Tax,0.6
525154,EE DENTAL,7.5
525154,EE HEALTH,12
525154,H ER Sales Tax,0.76
525154,H Sales Tax,0.96
526149,EE AD&D,0.23
526149,EE DENTAL,7.5
526149,EE HEALTH,12
526169,EE AD&D,0.46
526169,EE DENTAL,7.5
526169,EE HEALTH,12
526316,EE AD&D,0.46
526316,D ER Sales Tax,0.43
526316,D Sales Tax,0.6
526316,EE DENTAL,7.5
526316,EE HEALTH,12
526316,H ER Sales Tax,0.76
526316,H Sales Tax,0.96
526546,EE AD&D,0.46
526546,EE DENTAL,7.5
526546,EE HEALTH,12
527128,EE AD&D,0.23
527128,EE DENTAL,7.5
527128,EE HEALTH,12
527594,EE AD&D,0.23
527594,EE DENTAL,7.5
527594,EE HEALTH,12
527665,EE AD&D,0.46
527665,D ER Sales Tax,0.49
527665,D Sales Tax,0.68
527665,EE DENTAL,7.5
527665,EE HEALTH,12
527665,H ER Sales Tax,0.86
527665,H Sales Tax,1.08
528108,EE AD&D,0.23
528108,EE DENTAL,7.5
528108,EE HEALTH,12
528764,EE AD&D,0.23
528764,EE DENTAL,7.5
528764,EE HEALTH,12
529100,EE AD&D,0.46
529100,D ER Sales Tax,0.49
529100,D Sales Tax,0.68
529100,EE DENTAL,7.5
529100,EE HEALTH,12
529100,H ER Sales Tax,0.86
529100,H Sales Tax,1.08
